,result
1600,6.0
1601,19.0
1602,-8.0
1603,-5.0
1604,-6.0
1605,12.0
1606,18.0
1607,-32.0
1608,31.0
1609,-14.0
1610,-4.0
1611,-1.0
1612,-8.0
1613,6.0
1614,-5.0
1615,6.0
1616,29.0
1617,15.0
1618,7.0
1619,17.0
1620,3.0
1621,10.0
1622,6.0
1623,9.0
1624,43.0
1625,7.0
1626,-18.0
1627,3.0
1628,-3.0
1629,22.0
1630,2.0
1631,7.0
1632,13.0
1633,-6.0
1634,8.0
1635,-19.0
1636,-15.0
1637,15.0
1638,12.0
1639,25.0
1640,-14.0
1641,16.0
1642,10.0
1643,8.0
1644,11.0
1645,10.0
1646,15.0
1647,-6.0
1648,7.0
1649,10.0
1650,12.0
1651,7.0
1652,5.0
1653,-18.0
1654,35.0
1655,14.0
1656,-6.0
1657,-22.0
1658,5.0
1659,18.0
1660,8.0
1661,10.0
1662,34.0
1663,-3.0
1664,-13.0
1665,5.0
1666,-18.0
1667,8.0
1668,20.0
1669,4.0
1670,-26.0
1671,-24.0
1672,29.0
1673,-10.0
1674,-6.0
1675,5.0
1676,-12.0
1677,11.0
1678,-6.0
1679,2.0
1680,27.0
1681,8.0
1682,9.0
1683,20.0
1684,-12.0
1685,-25.0
1686,-8.0
1687,2.0
1688,-14.0
1689,9.0
1690,26.0
1691,-24.0
1692,-6.0
1693,-11.0
1694,3.0
1695,-3.0
1696,-33.0
1697,16.0
1698,-12.0
1699,-8.0
1700,10.0
1701,-10.0
1702,-8.0
1703,19.0
1704,3.0
1705,10.0
1706,13.0
1707,3.0
1708,-9.0
1709,12.0
1710,8.0
1711,-7.0
1712,23.0
1713,7.0
1714,16.0
1715,17.0
1716,14.0
1717,-5.0
1718,3.0
1719,-13.0
1720,-17.0
1721,7.0
1722,7.0
1723,-3.0
1724,5.0
1725,13.0
1726,14.0
1727,1.0
1728,3.0
1729,-9.0
1730,3.0
1731,4.0
1732,15.0
1733,-6.0
1734,-13.0
1735,28.0
1736,-1.0
1737,-15.0
1738,-20.0
1739,41.0
1740,4.0
1741,30.0
1742,-11.0
1743,-18.0
1744,-17.0
1745,12.0
1746,-3.0
1747,3.0
1748,13.0
1749,-13.0
1750,5.0
1751,-9.0
1752,9.0
1753,2.0
1754,-11.0
1755,-1.0
1756,22.0
1757,13.0
1758,-28.0
1759,-15.0
1760,6.0
